Outcomes

Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.0; ctr.ctr_max=3.83333333333; kpi2=0.298419779091; y3=0.225402489939; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.0; ctr.ctr_max=3.94444444444; kpi2=0.333718841603; y3=0.253641739949; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.0; ctr.ctr_max=4.05555555556; kpi2=0.315023494891; y3=0.238685462579; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.0; ctr.ctr_max=4.16666666667; kpi2=0.351031006642; y3=0.26749147198; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.0; ctr.ctr_max=4.27777777778; kpi2=0.36931807143; y3=0.28212112381; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.0; ctr.ctr_max=4.38888888889; kpi2=0.423314522814; y3=0.325318284918; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.0; ctr.ctr_max=4.5; kpi2=0.437277015905; y3=0.33648827939; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.5; kpi2=0.298399169639; y3=0.225386002378; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.61111111111; kpi2=0.283234240238; y3=0.213254058857; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.72222222222; kpi2=0.253531297062; y3=0.189491704317; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.83333333333; kpi2=0.275796484913; y3=0.207303854597; best-so-far=0.0699026767817
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.94444444444; kpi2=0.274915283108; y3=0.206598893153; best-so-far=0.0699026767817
