Outcomes

Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.88888888889; kpi2=0.268773256438; y3=0.201685271817; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.11111111111; kpi2=0.312573538791; y3=0.2367254977; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.33333333333; kpi2=0.377964448773; y3=0.289038225685; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.55555555556; kpi2=0.450374259829; y3=0.34696607453; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.77777777778; kpi2=0.536421178519; y3=0.415803609482; best-so-far=0.0838976003775
Infeasible: ctr.T=0.0666666666667; ctr.ctr_min=3.11111111111; ctr.ctr_max=5.0; kpi2=0.627600276024; y3=0.488746887486; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=3.44444444444; kpi2=0.192167907292; y3=0.1404009925; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=3.66666666667; kpi2=0.169730802268; y3=0.122451308481; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=3.88888888889; kpi2=0.200226627924; y3=0.146847969006; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.11111111111; kpi2=0.277694167556; y3=0.208822000712; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.33333333333; kpi2=0.360116749815; y3=0.274760066519; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.55555555556; kpi2=0.441519050072; y3=0.339881906724; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.77777777778; kpi2=0.535571845358; y3=0.415124142953; best-so-far=0.0838976003775
Infeasible: ctr.T=0.0666666666667; ctr.ctr_min=3.33333333333; ctr.ctr_max=5.0; kpi2=0.619495218238; y3=0.482262841257; best-so-far=0.0838976003775
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=3.66666666667; kpi2=0.110792390719; y3=0.0753005792419; best-so-far=0.0753005792419
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=3.88888888889; kpi2=0.187896589884; y3=0.136983938574; best-so-far=0.0753005792419
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.11111111111; kpi2=0.285065893255; y3=0.214719381271; best-so-far=0.0753005792419
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.33333333333; kpi2=0.397572640461; y3=0.304724779035; best-so-far=0.0753005792419
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.55555555556; kpi2=0.472740804436; y3=0.364859310215; best-so-far=0.0753005792419
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.77777777778; kpi2=0.586725149625; y3=0.456046786367; best-so-far=0.0753005792419
Infeasible: ctr.T=0.0666666666667; ctr.ctr_min=3.55555555556; ctr.ctr_max=5.0; kpi2=0.661218649523; y3=0.515641586285; best-so-far=0.0753005792419
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.77777777778; ctr.ctr_max=3.88888888889; kpi2=0.260485737879; y3=0.19505525697; best-so-far=0.0753005792419
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.11111111111; kpi2=0.371772184688; y3=0.284084414417; best-so-far=0.0753005792419
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.33333333333; kpi2=0.485247945048; y3=0.374865022705; best-so-far=0.0753005792419
Feasible: ctr.T=0.0666666666667; ctr.ctr_min=3.77777777778; ctr.ctr_max=4.55555555556; kpi2=0.570565209734; y3=0.443118834454; best-so-far=0.0753005792419
